date,Table_lamp_business_electricity_sales(kWh)
2019/8/10,251339921
2019/8/11,251339921
2019/8/12,251339921
2019/8/13,251339921
2019/8/14,251339921
2019/8/15,251339921
2019/8/16,251339921
2019/8/17,251339921
2019/8/18,251339921
2019/8/19,251339921
2019/8/20,251339921
2019/8/21,251339921
2019/8/22,251339921
2019/8/23,251339921
2019/8/24,251339921
2019/8/25,251339921
2019/8/26,251339921
2019/8/27,251339921
2019/8/28,251339921
2019/8/29,251339921
2019/8/30,251339921
2019/8/31,251339921
2019/9/1,293592930
2019/9/2,293592930
2019/9/3,293592930
2019/9/4,293592930
2019/9/5,293592930
2019/9/6,293592930
2019/9/7,293592930
2019/9/8,293592930
2019/9/9,293592930
2019/9/10,293592930
2019/9/11,293592930
2019/9/12,293592930
2019/9/13,293592930
2019/9/14,293592930
2019/9/15,293592930
2019/9/16,293592930
2019/9/17,293592930
2019/9/18,293592930
2019/9/19,293592930
2019/9/20,293592930
2019/9/21,293592930
2019/9/22,293592930
2019/9/23,293592930
2019/9/24,293592930
2019/9/25,293592930
2019/9/26,293592930
2019/9/27,293592930
2019/9/28,293592930
2019/9/29,293592930
2019/9/30,293592930
2019/10/1,243549484
2019/10/2,243549484
2019/10/3,243549484
2019/10/4,243549484
2019/10/5,243549484
2019/10/6,243549484
2019/10/7,243549484
2019/10/8,243549484
2019/10/9,243549484
2019/10/10,243549484
2019/10/11,243549484
2019/10/12,243549484
2019/10/13,243549484
2019/10/14,243549484
2019/10/15,243549484
2019/10/16,243549484
2019/10/17,243549484
2019/10/18,243549484
2019/10/19,243549484
2019/10/20,243549484
2019/10/21,243549484
2019/10/22,243549484
2019/10/23,243549484
2019/10/24,243549484
2019/10/25,243549484
2019/10/26,243549484
2019/10/27,243549484
2019/10/28,243549484
2019/10/29,243549484
2019/10/30,243549484
2019/10/31,243549484
2019/11/1,248744866
2019/11/2,248744866
2019/11/3,248744866
2019/11/4,248744866
2019/11/5,248744866
2019/11/6,248744866
2019/11/7,248744866
2019/11/8,248744866
2019/11/9,248744866
2019/11/10,248744866
2019/11/11,248744866
2019/11/12,248744866
2019/11/13,248744866
2019/11/14,248744866
2019/11/15,248744866
2019/11/16,248744866
2019/11/17,248744866
2019/11/18,248744866
2019/11/19,248744866
2019/11/20,248744866
2019/11/21,248744866
2019/11/22,248744866
2019/11/23,248744866
2019/11/24,248744866
2019/11/25,248744866
2019/11/26,248744866
2019/11/27,248744866
2019/11/28,248744866
2019/11/29,248744866
2019/11/30,248744866
2019/12/1,203278479
2019/12/2,203278479
2019/12/3,203278479
2019/12/4,203278479
2019/12/5,203278479
2019/12/6,203278479
2019/12/7,203278479
2019/12/8,203278479
2019/12/9,203278479
2019/12/10,203278479
2019/12/11,203278479
2019/12/12,203278479
2019/12/13,203278479
2019/12/14,203278479
2019/12/15,203278479
2019/12/16,203278479
2019/12/17,203278479
2019/12/18,203278479
2019/12/19,203278479
2019/12/20,203278479
2019/12/21,203278479
2019/12/22,203278479
2019/12/23,203278479
2019/12/24,203278479
2019/12/25,203278479
2019/12/26,203278479
2019/12/27,203278479
2019/12/28,203278479
2019/12/29,203278479
2019/12/30,203278479
2019/12/31,203278479
2020/1/1,210048381
2020/1/2,210048381
2020/1/3,210048381
2020/1/4,210048381
2020/1/5,210048381
2020/1/6,210048381
2020/1/7,210048381
2020/1/8,210048381
2020/1/9,210048381
2020/1/10,210048381
2020/1/11,210048381
2020/1/12,210048381
2020/1/13,210048381
2020/1/14,210048381
2020/1/15,210048381
2020/1/16,210048381
2020/1/17,210048381
2020/1/18,210048381
2020/1/19,210048381
2020/1/20,210048381
2020/1/21,210048381
2020/1/22,210048381
2020/1/23,210048381
2020/1/24,210048381
2020/1/25,210048381
2020/1/26,210048381
2020/1/27,210048381
2020/1/28,210048381
2020/1/29,210048381
2020/1/30,210048381
2020/1/31,210048381
2020/2/1,185021736
2020/2/2,185021736
2020/2/3,185021736
2020/2/4,185021736
2020/2/5,185021736
2020/2/6,185021736
2020/2/7,185021736
2020/2/8,185021736
2020/2/9,185021736
2020/2/10,185021736
2020/2/11,185021736
2020/2/12,185021736
2020/2/13,185021736
2020/2/14,185021736
2020/2/15,185021736
2020/2/16,185021736
2020/2/17,185021736
2020/2/18,185021736
2020/2/19,185021736
2020/2/20,185021736
2020/2/21,185021736
2020/2/22,185021736
2020/2/23,185021736
2020/2/24,185021736
2020/2/25,185021736
2020/2/26,185021736
2020/2/27,185021736
2020/2/28,185021736
2020/2/29,185021736
2020/3/1,203328209
2020/3/2,203328209
2020/3/3,203328209
2020/3/4,203328209
2020/3/5,203328209
2020/3/6,203328209
2020/3/7,203328209
2020/3/8,203328209
2020/3/9,203328209
2020/3/10,203328209
2020/3/11,203328209
2020/3/12,203328209
2020/3/13,203328209
2020/3/14,203328209
2020/3/15,203328209
2020/3/16,203328209
2020/3/17,203328209
2020/3/18,203328209
2020/3/19,203328209
2020/3/20,203328209
2020/3/21,203328209
2020/3/22,203328209
2020/3/23,203328209
2020/3/24,203328209
2020/3/25,203328209
2020/3/26,203328209
2020/3/27,203328209
2020/3/28,203328209
2020/3/29,203328209
2020/3/30,203328209
2020/3/31,203328209
2020/4/1,190687381
2020/4/2,190687381
2020/4/3,190687381
2020/4/4,190687381
2020/4/5,190687381
2020/4/6,190687381
2020/4/7,190687381
2020/4/8,190687381
2020/4/9,190687381
2020/4/10,190687381
2020/4/11,190687381
2020/4/12,190687381
2020/4/13,190687381
2020/4/14,190687381
2020/4/15,190687381
2020/4/16,190687381
2020/4/17,190687381
2020/4/18,190687381
2020/4/19,190687381
2020/4/20,190687381
2020/4/21,190687381
2020/4/22,190687381
2020/4/23,190687381
2020/4/24,190687381
2020/4/25,190687381
2020/4/26,190687381
2020/4/27,190687381
2020/4/28,190687381
2020/4/29,190687381
2020/4/30,190687381
2020/5/1,218126410
2020/5/2,218126410
2020/5/3,218126410
2020/5/4,218126410
2020/5/5,218126410
2020/5/6,218126410
2020/5/7,218126410
2020/5/8,218126410
2020/5/9,218126410
2020/5/10,218126410
2020/5/11,218126410
2020/5/12,218126410
2020/5/13,218126410
2020/5/14,218126410
2020/5/15,218126410
2020/5/16,218126410
2020/5/17,218126410
2020/5/18,218126410
2020/5/19,218126410
2020/5/20,218126410
2020/5/21,218126410
2020/5/22,218126410
2020/5/23,218126410
2020/5/24,218126410
2020/5/25,218126410
2020/5/26,218126410
2020/5/27,218126410
2020/5/28,218126410
2020/5/29,218126410
2020/5/30,218126410
2020/5/31,218126410
2020/6/1,205845933
2020/6/2,205845933
2020/6/3,205845933
2020/6/4,205845933
2020/6/5,205845933
2020/6/6,205845933
2020/6/7,205845933
2020/6/8,205845933
2020/6/9,205845933
2020/6/10,205845933
2020/6/11,205845933
2020/6/12,205845933
2020/6/13,205845933
2020/6/14,205845933
2020/6/15,205845933
2020/6/16,205845933
2020/6/17,205845933
2020/6/18,205845933
2020/6/19,205845933
2020/6/20,205845933
2020/6/21,205845933
2020/6/22,205845933
2020/6/23,205845933
2020/6/24,205845933
2020/6/25,205845933
2020/6/26,205845933
2020/6/27,205845933
2020/6/28,205845933
2020/6/29,205845933
2020/6/30,205845933
2020/7/1,264899561
2020/7/2,264899561
2020/7/3,264899561
2020/7/4,264899561
2020/7/5,264899561
2020/7/6,264899561
2020/7/7,264899561
2020/7/8,264899561
2020/7/9,264899561
2020/7/10,264899561
2020/7/11,264899561
2020/7/12,264899561
2020/7/13,264899561
2020/7/14,264899561
2020/7/15,264899561
2020/7/16,264899561
2020/7/17,264899561
2020/7/18,264899561
2020/7/19,264899561
2020/7/20,264899561
2020/7/21,264899561
2020/7/22,264899561
2020/7/23,264899561
2020/7/24,264899561
2020/7/25,264899561
2020/7/26,264899561
2020/7/27,264899561
2020/7/28,264899561
2020/7/29,264899561
2020/7/30,264899561
2020/7/31,264899561
2020/8/1,242017254
2020/8/2,242017254
2020/8/3,242017254
2020/8/4,242017254
2020/8/5,242017254
2020/8/6,242017254
2020/8/7,242017254
2020/8/8,242017254
2020/8/9,242017254
2020/8/10,242017254
